Section,Gender,Plans,Season,Rank,Ticket,Texted,Exercise,Ethnicfood,Haircutcost,Topspeed,Height,Weight,Sleep,Jobhours,GPA,Heartrate
"B (Plantinga, 9:00 AM)",Female,Educ,Summer,Oldest,No,No,No,Italian,35,84,67,135,9,13,3.86,20
"B (Plantinga, 9:00 AM)",Male,Educ,Spring,Youngest,Yes,Yes,Yes,Italian,17,110,68,150,9,0,3,13
"C (Talsma, 10:30 AM)",Male,Job,Summer,Middle,No,No,No,Mexican,16,90,71,185,7,20,2.8,22
"C (Talsma, 10:30 AM)",Male,Job,Summer,Youngest,Yes,Yes,Yes,Mexican,20,110,70,150,6,0,3.7,19
"C (Talsma, 10:30 AM)",Male,Job,Fall,Oldest,No,Yes,No,American,7,110,74,170,6,10,2.9,15
"C (Talsma, 10:30 AM)",Male,Educ,Summer,Youngest,Yes,Yes,No,Italian,15,100,70,160,9,0,4,21
"C (Talsma, 10:30 AM)",Male,Educ,Summer,Youngest,No,Yes,Yes,Asian,0,100,72,185,8.5,10,3.98,19
"C (Talsma, 10:30 AM)",Female,Job,Fall,Youngest,Yes,Yes,Yes,Asian,75,80,64,135,6,11.5,3,16
"C (Talsma, 10:30 AM)",Male,Job,Fall,Oldest,No,Yes,Yes,American,11.3,85,69,160,8,3,3.95,14
"C (Talsma, 10:30 AM)",Male,Job,NA,Middle,No,Yes,Yes,American,30,100,72,155,6,0,4,14
"C (Talsma, 10:30 AM)",Male,Educ,Spring,Youngest,No,No,Yes,Italian,20,110,66,120,9,0,3.6,20
"C (Talsma, 10:30 AM)",Male,Job,Fall,Youngest,No,Yes,Yes,Italian,0,140,69,155,6,25,2.5,12
"C (Talsma, 10:30 AM)",Male,Job,Summer,Oldest,No,Yes,Yes,American,15,90,72,168,6,40,3.8,20
"C (Talsma, 10:30 AM)",Female,Job,Spring,Youngest,Yes,Yes,No,Italian,100,95,69,170,8,10,3.7,21
"C (Talsma, 10:30 AM)",Female,Job,Fall,Oldest,No,Yes,No,Italian,15,85,71,130,7,6,3.8,21
"C (Talsma, 10:30 AM)",Female,Educ,Summer,Middle,No,No,No,Asian,30,90,68,119,7,7,3.855,18
"C (Talsma, 10:30 AM)",Female,Job,Fall,Youngest,No,Yes,Yes,Mexican,12,80,64,150,8.5,8,3.58,15
"C (Talsma, 10:30 AM)",Male,Job,Summer,Youngest,No,Yes,Yes,Italian,23,90,74,152,8,0,2.7,19
"C (Talsma, 10:30 AM)",Male,Job,Fall,Youngest,Yes,Yes,Yes,Mexican,0,126,72,190,9,20,2.7,17
"C (Talsma, 10:30 AM)",Female,Job,Summer,Middle,Yes,Yes,No,NA,30,110,63,125,6,10,3.3,14
"C (Talsma, 10:30 AM)",Female,Job,Fall,Youngest,No,No,Yes,Italian,45,95,63,120,10,12,3.7,10
"C (Talsma, 10:30 AM)",Male,Educ,Fall,Oldest,Yes,Yes,Yes,Mexican,15,110,66,210,7,10,2.5,20
"C (Talsma, 10:30 AM)",Male,Job,Winter,Middle,Yes,Yes,Yes,Mexican,0,130,77,175,9,20,3.6,17
