country,subregion,region,imf_estimate,imf_year,wb_estimate,wb_year,cia_estimate,cia_year
Thailand,South-eastern Asia,Asia,19004,2021,18236,2020,18460,2019
Equatorial Guinea,Middle Africa,Africa,18236,2021,17942,2020,18558,2019
Botswana,Southern Africa,Africa,18113,2021,16921,2020,17767,2019
China,Eastern Asia,Asia,18931,2021,17312,2020,16117,2019
World,World,World,NA,NA,17110,2020,17500,2017
North Macedonia,Southern Europe,Europe,17663,2021,16927,2020,16479,2019
French Polynesia,Polynesia,Oceania,NA,NA,NA,NA,17000,2015
Cook Islands,Polynesia,Oceania,NA,NA,NA,NA,16700,2016
Palau,Micronesia,Oceania,12862,2021,18316,2019,17579,2019
Turkmenistan,Central Asia,Asia,17415,2021,16196,2019,14845,2018
Grenada,Caribbean,Americas,15385,2021,15893,2020,17039,2019
Suriname,South America,Americas,14703,2021,17016,2020,16525,2019
Bosnia and Herzegovina,Southern Europe,Europe,15935,2021,15612,2020,14912,2019
Gabon,Middle Africa,Africa,16244,2021,15191,2020,14950,2019
Georgia,Western Asia,Asia,15709,2021,14863,2020,14992,2019
Brazil,South America,Americas,15643,2021,14836,2020,14652,2019
Colombia,South America,Americas,15184,2021,14565,2020,14722,2019
Azerbaijan,Western Asia,Asia,14856,2021,14452,2020,14404,2019
Barbados,Caribbean,Americas,14329,2021,13577,2020,15639,2019
Albania,Southern Europe,Europe,15225,2021,13818,2020,13965,2019
Saint Lucia,Caribbean,Americas,13942,2021,12944,2020,15449,2019
Armenia,Western Asia,Asia,13638,2021,13284,2020,13654,2019
Sri Lanka,Southern Asia,Asia,13909,2021,13225,2020,13078,2019
Moldova,Eastern Europe,Europe,13879,2021,13002,2020,13050,2019
Ukraine,Eastern Europe,Europe,13943,2021,13057,2020,12810,2019
Libya,Northern Africa,Africa,13723,2021,10847,2020,15174,2019
Paraguay,South America,Americas,13454,2021,13013,2020,12685,2019
Iran,Southern Asia,Asia,13513,2021,13116,2020,12389,2019
Lebanon,Western Asia,Asia,11564,2021,12289,2020,14552,2019
Saint Vincent and the Grenadines,Caribbean,Americas,12811,2021,12770,2020,12485,2019
Peru,South America,Americas,12985,2021,11879,2020,12848,2019
Fiji,Melanesia,Oceania,12298,2021,11601,2020,13684,2019
Egypt,Northern Africa,Africa,13083,2021,12608,2020,11763,2019
South Africa,Southern Africa,Africa,12442,2021,12096,2020,12482,2019
Cuba,Caribbean,Americas,NA,NA,NA,NA,12300,2016
Mongolia,Eastern Asia,Asia,12431,2021,12101,2020,12317,2019
Indonesia,South-eastern Asia,Asia,12882,2021,12074,2020,11812,2019
Anguilla,Caribbean,Americas,NA,NA,NA,NA,12200,2008
Nauru,Micronesia,Oceania,9995,2021,14100,2019,11583,2019
Bhutan,Southern Asia,Asia,11928,2021,11508,2020,11832,2019
Kosovo,Eastern Europe,Europe,11949,2021,11368,2020,11368,2019
Algeria,Northern Africa,Africa,11433,2021,11268,2020,11511,2019
Ecuador,South America,Americas,11331,2021,10896,2020,11375,2019
American Samoa,Polynesia,Oceania,NA,NA,NA,NA,11200,2016
Dominica,Caribbean,Americas,11231,2021,10435,2020,11917,2019
Tunisia,Northern Africa,Africa,10594,2021,10262,2020,10756,2019
Jordan,Western Asia,Asia,10590,2021,10356,2020,10071,2019
Iraq,Western Asia,Asia,10038,2021,9764,2020,10881,2019
Jamaica,Caribbean,Americas,10294,2021,9222,2020,9762,2019
Namibia,Southern Africa,Africa,9542,2021,9382,2020,9637,2019
Vietnam,South-eastern Asia,Asia,11677,2021,8651,2020,8041,2019
Eswatini,Southern Africa,Africa,9152,2021,8854,2020,8622,2019
Philippines,South-eastern Asia,Asia,9061,2021,8390,2020,8908,2019
El Salvador,Central America,Americas,8891,2021,8499,2020,8776,2019
Guatemala,Central America,Americas,8648,2021,8854,2020,8637,2019
Bolivia,South America,Americas,8832,2021,8367,2020,8724,2019
Laos,South-eastern Asia,Asia,8519,2021,8235,2020,7826,2019
Morocco,Northern Africa,Africa,8027,2021,7296,2020,7515,2019
Uzbekistan,Central Asia,Asia,7830,2021,7378,2020,6999,2019
India,Southern Asia,Asia,7333,2021,6454,2020,6700,2019
Cape Verde,Western Africa,Africa,6837,2021,6377,2020,7172,2019
Angola,Middle Africa,Africa,6878,2021,6539,2020,6670,2019
Belize,Central America,Americas,6133,2021,6456,2020,7005,2019
Venezuela,South America,Americas,5178,2021,17528,2011,7704,2018
Tonga,Polynesia,Oceania,6156,2021,6648,2019,6383,2019
Samoa,Polynesia,Oceania,5260,2021,6778,2019,6521,2019
Tokelau,Polynesia,Oceania,NA,NA,NA,NA,6004,2017
Niue,Polynesia,Oceania,NA,NA,NA,NA,5800,2003
Palestine,Western Asia,Asia,5664,2021,5690,2020,6220,2019
Ghana,Western Africa,Africa,5968,2021,5596,2020,5413,2019
Honduras,Central America,Americas,5698,2021,5421,2020,5728,2019
Nicaragua,Central America,Americas,5648,2021,5570,2020,5407,2019
Djibouti,Eastern Africa,Africa,5300,2021,5782,2020,5535,2019
Mauritania,Western Africa,Africa,5993,2021,5257,2020,5197,2019
Ivory Coast,Western Africa,Africa,5642,2021,5458,2020,5213,2019
Bangladesh,Southern Asia,Asia,5812,2021,5083,2020,4754,2019
Nigeria,Western Africa,Africa,5280,2021,5187,2020,5136,2019
Kyrgyzstan,Central Asia,Asia,5323,2021,4965,2020,5253,2019
Pakistan,Southern Asia,Asia,5224,2021,4877,2020,4690,2019
Myanmar,South-eastern Asia,Asia,4831,2021,4794,2020,5142,2019
Kenya,Eastern Africa,Africa,5274,2021,4452,2020,4330,2019
Syria,Western Asia,Asia,6373,2021,NA,NA,2900,2015
Cambodia,South-eastern Asia,Asia,4930,2021,4422,2020,4389,2019
Tuvalu,Polynesia,Oceania,4674,2021,4653,2020,4281,2019
Papua New Guinea,Melanesia,Oceania,3956,2021,4326,2020,4355,2019
Sudan,Northern Africa,Africa,4082,2021,4244,2020,3958,2019
São Tomé and Príncipe,Middle Africa,Africa,3926,2021,4274,2020,3970,2019
Marshall Islands,Micronesia,Oceania,3767,2021,4200,2019,3889,2018
Nepal,Southern Asia,Asia,4199,2021,4009,2020,3417,2019
Congo,Middle Africa,Africa,4169,2021,3639,2020,3673,2019
Wallis and Futuna,Polynesia,Oceania,NA,NA,NA,NA,3800,2004
Cameroon,Middle Africa,Africa,3745,2021,3773,2020,3642,2019
Tajikistan,Central Asia,Asia,3856,2021,3858,2020,3380,2019
Senegal,Western Africa,Africa,3625,2021,3481,2020,3395,2019
Micronesia,Micronesia,Oceania,3372,2021,3613,2019,3464,2018
Benin,Western Africa,Africa,3573,2021,3506,2020,3287,2019
Zambia,Eastern Africa,Africa,3322,2021,3450,2020,3470,2019
East Timor,South-eastern Asia,Asia,3119,2021,3356,2020,3553,2019
Comoros,Eastern Africa,Africa,3022,2021,3313,2020,3060,2019
Haiti,Caribbean,Americas,2962,2021,2925,2020,2905,2019
Vanuatu,Melanesia,Oceania,2646,2021,2915,2020,3153,2019
Zimbabwe,Eastern Africa,Africa,2698,2021,2895,2020,2836,2019
Tanzania,Eastern Africa,Africa,2863,2021,2780,2020,2660,2019
Guinea,Western Africa,Africa,2731,2021,2818,2020,2562,2019
Lesotho,Southern Africa,Africa,2829,2021,2405,2020,2704,2019
Ethiopia,Eastern Africa,Africa,2973,2021,2423,2020,2221,2019
Solomon Islands,Melanesia,Oceania,2483,2021,2619,2020,2663,2019
Uganda,Eastern Africa,Africa,2706,2021,2297,2020,2187,2019
Mali,Western Africa,Africa,2469,2021,2339,2020,2322,2019
Kiribati,Micronesia,Oceania,2242,2021,2418,2020,2272,2019
Rwanda,Eastern Africa,Africa,2458,2021,2214,2020,2227,2019
Gambia,Western Africa,Africa,2384,2021,2278,2020,2223,2019
Burkina Faso,Western Africa,Africa,2334,2021,2279,2020,2178,2019
Yemen,Western Asia,Asia,1924,2021,3689,2013,2500,2017
Afghanistan,Southern Asia,Asia,2474,2021,2088,2020,2065,2019
Guinea-Bissau,Western Africa,Africa,2409,2021,1949,2020,1989,2019
Togo,Western Africa,Africa,2261,2021,2224,2020,1597,2019
Sierra Leone,Western Africa,Africa,1771,2021,1739,2020,1718,2019
Eritrea,Eastern Africa,Africa,1862,2021,1626,2011,1600,2019
Madagascar,Eastern Africa,Africa,1639,2021,1593,2020,1647,2019
Chad,Middle Africa,Africa,1621,2021,1603,2020,1580,2019
Liberia,Western Africa,Africa,1602,2021,1428,2020,1428,2019
Mozambique,Eastern Africa,Africa,1293,2021,1297,2020,1281,2019
Niger,Western Africa,Africa,1320,2021,1263,2020,1225,2019
South Sudan,Eastern Africa,Africa,825,2021,1235,2015,1600,2017
Malawi,Eastern Africa,Africa,1005,2021,1568,2020,1060,2019
DR Congo,Middle Africa,Africa,1132,2021,1131,2020,1098,2019
Central African Republic,Middle Africa,Africa,1013,2021,979.6,2020,945,2019
Somalia,Eastern Africa,Africa,941,2021,875.2,2020,NA,NA
Burundi,Eastern Africa,Africa,772,2021,771.2,2020,752,2019
